TIMES commodity,Description,Unit,Sector,Type,Cluster,PyPSA Energy Carrier,Upstream commodity,Upstream process,Comment,Aggregation Level 1,Aggregation Level 2,sankey_overview,custom,Notes
CLIGEN,Commercial Ligthing Existing Enseignment Existing,PJ,COM,NRG,Commercial lighting,Commercial lighting,,,Was unmapped → lighting FOut dropped from energy Sankey; appliances→Buildings looked incomplete,Commercial lighting,Commercial lighting,Other,Commercial lighting,
CLIGNBA,Commercial Ligthing new Bureaux: Administration new,PJ,COM,NRG,Commercial lighting,Commercial lighting,,,Was unmapped → lighting FOut dropped from energy Sankey; appliances→Buildings looked incomplete,Commercial lighting,Commercial lighting,Other,Commercial lighting,
CLIGNBP,"Commercial Ligthing new Bureaux: transport et communication, banques etc new",PJ,COM,NRG,Commercial lighting,Commercial lighting,,,Was unmapped → lighting FOut dropped from energy Sankey; appliances→Buildings looked incomplete,Commercial lighting,Commercial lighting,Other,Commercial lighting,
CLIGNCO,Commercial Lighting new Commerce new,PJ,COM,NRG,Commercial lighting,Commercial lighting,,,Was unmapped → lighting FOut dropped from energy Sankey; appliances→Buildings looked incomplete,Commercial lighting,Commercial lighting,Other,Commercial lighting,
CLIGNCS,Commercial Ligthing new Culture sports et divers new,PJ,COM,NRG,Commercial lighting,Commercial lighting,,,Was unmapped → lighting FOut dropped from energy Sankey; appliances→Buildings looked incomplete,Commercial lighting,Commercial lighting,Other,Commercial lighting,
CLIGNDATA,Commercial Ligthing new Data Center new,PJ,COM,NRG,Commercial lighting,Commercial lighting,,,Was unmapped → lighting FOut dropped from energy Sankey; appliances→Buildings looked incomplete,Commercial lighting,Commercial lighting,Other,Commercial lighting,
CLIGNEN,Commercial Ligthing new Enseignment new,PJ,COM,NRG,Commercial lighting,Commercial lighting,,,Was unmapped → lighting FOut dropped from energy Sankey; appliances→Buildings looked incomplete,Commercial lighting,Commercial lighting,Other,Commercial lighting,
CLIGNSA,Commercial Ligthing new Santé new,PJ,COM,NRG,Commercial lighting,Commercial lighting,,,Was unmapped → lighting FOut dropped from energy Sankey; appliances→Buildings looked incomplete,Commercial lighting,Commercial lighting,Other,Commercial lighting,
CLIGSA,Commercial Ligthing Existing Santé Existing,PJ,COM,NRG,Commercial lighting,Commercial lighting,,,Was unmapped → lighting FOut dropped from energy Sankey; appliances→Buildings looked incomplete,Commercial lighting,Commercial lighting,Other,Commercial lighting,
COEL,Commercial Other Electric Existing,PJ,COM,DEM,Electricity for existing commercial appliances,Electricity for existing commercial appliances,,,Was unmapped → other-electric service FOut dropped from energy Sankey,Electricity for existing commercial appliances,Commercial Other Electric Existing,Electricity,Commercial appliance services,
BIOSLUH,Sludges Renewable (methanation),PJ,SUP,NRG,,Sludges for methanisation,,,,Sludges for methanisation,Sludges for methanisation,Biomass & biofuels,Sludges for methanisation,PJ feedstock into BWBIOGAZ100; Mt feedstocks BIOEFF/BIOCUL/BIOBOU stay unmapped
