Technology (Process),Sector,Set,Description,Activity unit,Capacity unit,Type,Primary commodity group,Time slice level,Vintage,Aggregation Level 2,sankey_overview,custom
CHENELC200,COM,.PRE.,Com.Space Heat.EN.ELC.00.Heat Pump.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",Commercial Heat pump,Buildings,Commercial Heat pump
CHENELCHPR202,COM,.PRE.,Com Space Heat New Heat Pump With Reno - CO - ELC202,PJ,GW,PRE,CHENELCHPR202_NRGO,ANNUAL,"0,00",Commercial Heat pump,Buildings,Commercial Heat pump
CHENGEO100,COM,.PRE.,Com.Space Heat.EN.GEO.00.Furnace.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",commercial Geothermal,Buildings,commercial Geothermal
CHENGMX100,COM,.PRE.,Com.Space Heat.EN.GAS.00.Furnace.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHENGMX501,COM,.PRE.,Com Space Heat New Boiler - CO - GMX501,PJ,GW,PRE,CHENGMX501_NRGO,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHENHET100,COM,.PRE.,Com.Space Heat.EN.LTH.00.Heat exchanger.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",Commercial Heat Exchanger,District heating,Commercial Heat Exchanger
CHENLPG100,COM,.PRE.,Com.Space Heat.EN.LPG.00.Furnace.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHENLTH101,COM,.PRE.,Com Space Heat New Heat Exchanger - EN - HET101,PJ,GW,PRE,CHENLTH101_NRGO,ANNUAL,"0,00",Commercial Heat Exchanger,District heating,Commercial Heat Exchanger
CHENOIL100,COM,.PRE.,Com.Space Heat.EN.OIL.00.Furnace.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",Commercial Oil boiler,Buildings,Commercial Oil boiler
CHENPEL100,COM,.PRE.,Com.Space Heat.EN.WODDPELL.00.Stove.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CHNBAGMX501,COM,.PRE.,Com Space Heat New Boiler - NCO - GMX501,PJ,GW,PRE,CHNBAGMX501_NRGO,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHNBPGMX501,COM,.PRE.,Com Space Heat New Boiler - NBP – GMX501,PJ,GW,PRE,CHNBPGMX501_NRGO,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHNCOELCHP202,COM,.PRE.,Com Space Heat New Heat pump - NCO - ELC202,PJ,GW,PRE,CHNCOELCHP202_NRGO,ANNUAL,"0,00",Commercial Heat pump,Buildings,Commercial Heat pump
CHNCOGMX501,COM,.PRE.,Com Space Heat New Boiler - NCO - GMX501,PJ,GW,PRE,CHNCOGMX501_NRGO,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHNCSGMX401,COM,.PRE.,Com Space Heat New Boiler - NCS - GMX401,PJ,GW,PRE,CHNCS,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHNENGMX501,COM,.PRE.,Com Space Heat New Boiler - NCO - GMX501,PJ,GW,PRE,CHNENGMX501_NRGO,ANNUAL,,Commercial gas boiler,Buildings,Commercial gas boiler
CHNSAGMX501,COM,.PRE.,Com Space Heat New Boiler - NCO - GMX501,PJ,GW,PRE,CHNSAGMX501_NRGO,ANNUAL,,Commercial gas boiler,Buildings,Commercial gas boiler
CHPINDBLQIPPN00_N,IND,.CHP.,CHP.Autoproducer.Industry.Pulp&Paper_BLQ-New 00_N,PJ,GW,CHP,CHPINDBLQIPPN00_N_NRGO,DAYNITE,"1,00",Industry,CHP,CHP
CHPINDCPSIPPN00_N,IND,.CHP.,CHP.Autoproducer.Industry.Pulp&Paper_CPS-New 00_N,PJ,GW,CHP,CHPINDCPSIPPN00_N_NRGO,DAYNITE,"1,00",Industry,CHP,CHP
CHPINDIBP00,IND,.CHP.,CHP.Autoproducer.Industry.wood.00,PJ,GW,CHP,CHPINDIBP00_NRGO,DAYNITE,"0,00",Industry,CHP,CHP
CHPINDICH00,IND,.CHP.,CHP.Autoproducer.industrie.chimie.00,PJ,GW,CHP,CHPINDICH00_NRGO,DAYNITE,"0,00",Industry,CHP,CHP
CHPINDIML00,IND,.CHP.,CHP.Autoproducer.Industry.FOOD.Milk.00,PJ,GW,CHP,CHPINDIML00_NRGO,DAYNITE,"0,00",Industry,CHP,CHP
CHPINDINM00,IND,.CHP.,CHP.Autoproducer.Industry.others.non.metal.00,PJ,GW,CHP,CHPINDINM00_NRGO,DAYNITE,"0,00",Industry,CHP,CHP
CHPINDIOF00,IND,.CHP.,CHP.Autoproducer.Industry.FOOD.others.00,PJ,GW,CHP,CHPINDIOF00_NRGO,DAYNITE,"0,00",Industry,CHP,CHP
CHPINDIOI00,IND,.CHP.,CHP.Autoproducer.Industry.others.non.metal.00,PJ,GW,CHP,CHPINDIOI00_NRGO,DAYNITE,"0,00",Industry,CHP,CHP
CHPINDIPO00,IND,.CHP.,CHP.Autoproducer.Industry.FOODIPO.00,PJ,GW,CHP,CHPINDIPO00_NRGO,DAYNITE,"0,00",Industry,CHP,CHP
CHPINDIPP00,IND,.CHP.,CHP.Autoproducer.Industry.Pulp&Paper.00,PJ,GW,CHP,CHPINDIPP00_NRGO,DAYNITE,"0,00",Industry,CHP,CHP
CHPINDISG00,IND,.CHP.,CHP.Autoproducer.Industry.FOOD.ISGar.00,PJ,GW,CHP,CHPINDISG00_NRGO,DAYNITE,"0,00",Industry,CHP,CHP
CHPINDWSTIPPN00_N,IND,.CHP.,CHP.Autoproducer.Industry.Pulp&Paper_WST-New 00_N,PJ,GW,CHP,CHPINDWSTIPPN00_N_NRGO,DAYNITE,"1,00",Industry,CHP,CHP
CHSABGS100,COM,.PRE.,Com.Space Heat.SA.BGS.00.Furnace.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",Commercial gas boiler,Buildings,Commercial gas boiler
CHSACPS100,COM,.PRE.,Com.Space Heat.SA.BIOCPS.00.Stove.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",Commercial Biomass boiler,Buildings,Commercial Biomass boiler
CHSADUM-DEM,COM,.DMD.,Commercial dummy tech from CHP heat to CH for CHSA,PJ,PJ,DMD,CHSA,ANNUAL,"0,00",Commercial CHP heat,Buildings,Commercial CHP heat
CHSAELC100,COM,.PRE.,Com.Space Heat.SA.ELC.00.Resistance.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",Commercial electrical stove,Buildings,Commercial electrical stove
CHSAELC200,COM,.PRE.,Com.Space Heat.SA.ELC.00.Heat Pump.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",Commercial Heat pump,Buildings,Commercial Heat pump
CHSAGEO100,COM,.PRE.,Com.Space Heat.SA.GEO.00.Furnace.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",commercial Geothermal,Buildings,commercial Geothermal
